sasdate,CPI_raw,CPI_t
1982-03-01,94.7,0
1982-04-01,95,0.31628914085084503
1982-05-01,95.9,0.942909028885186
1982-06-01,97,1.1404996613990193
1982-07-01,97.5,0.5141399500418586
1982-08-01,97.7,0.20491810449358994
1982-09-01,97.7,0
1982-10-01,98.1,0.40858075225802537
1982-11-01,98,-0.10198879007452533
1982-12-01,97.7,-0.30659196218350004
1983-01-01,97.9,0.20449904877271052
1983-02-01,98,0.10209291341078952
1983-03-01,98.1,0.10198879007452533
1983-04-01,98.8,0.711023818250478
1983-05-01,99.2,0.40404095370050186
1983-06-01,99.4,0.20140993717010502
1983-07-01,99.8,0.40160696548898756
1983-08-01,100.1,0.3001503003756234
1983-09-01,100.4,0.29925209364547456
1983-10-01,100.8,0.39761483796389996
1983-11-01,101.1,0.2971770389157413
1983-12-01,101.4,0.29629651306573024
1984-01-01,102.1,0.6879634013536418
1984-02-01,102.6,0.48852075660494876
1984-03-01,102.9,0.2919710103334694
1984-04-01,103.3,0.3879733285589104
1984-05-01,103.5,0.1934236579830717
1984-06-01,103.7,0.19305025300582201
1984-07-01,104.1,0.38498603854417723
1984-08-01,104.4,0.287769982761521
1984-09-01,104.7,0.28694424279525066
1984-10-01,105.1,0.38131600064144067
1984-11-01,105.3,0.19011412570240083
1984-12-01,105.5,0.18975337761917288
1985-01-01,105.7,0.18939399600705897
1985-02-01,106.3,0.5660392471710018
1985-03-01,106.8,0.469264117819268
1985-04-01,107,0.1870907935811239
1985-05-01,107.2,0.1867414174795634
1985-06-01,107.5,0.2794598931015635
1985-07-01,107.7,0.1858736594625654
1985-08-01,107.9,0.18552881017459555
1985-09-01,108.1,0.18518523810735488
1985-10-01,108.5,0.3693448335352123
1985-11-01,109,0.45977092486291227
1985-12-01,109.5,0.4576667027412107
1986-01-01,109.9,0.3646312153020581
1986-02-01,109.7,-0.18214941283911656
1986-03-01,109.1,-0.548447444216027
1986-04-01,108.7,-0.3673098711860945
1986-05-01,109,0.27560881019796923
1986-06-01,109.4,0.366300775873718
1986-07-01,109.5,0.091365926867492675
1986-08-01,109.6,0.09128252573598061
1986-09-01,110,0.36429912785012064
1986-10-01,110.2,0.18165309263977747
1986-11-01,110.4,0.1813237124181022
1986-12-01,110.8,0.36166404701880595
1987-01-01,111.4,0.5400553180000323
1987-02-01,111.8,0.35842332278148703
1987-03-01,112.2,0.35714323675977155
1987-04-01,112.7,0.4446427957134347
1987-05-01,113,0.2658397666610135
1987-06-01,113.5,0.44150182091167167
1987-07-01,113.8,0.263968477077281
1987-08-01,114.3,0.438404910853496
1987-09-01,114.7,0.34934533345598595
1987-10-01,115,0.2612104227925016
1987-11-01,115.4,0.34722257107491217
1987-12-01,115.6,0.17316021642779234
1988-01-01,116,0.3454234868087269
1988-02-01,116.2,0.17226533114467202
1988-03-01,116.5,0.2578428587944437
1988-04-01,117.2,0.5990604137156907
1988-05-01,117.5,0.25564564413009805
1988-06-01,118,0.42462908814515643
1988-07-01,118.5,0.42283361095210026
1988-08-01,119,0.4210532536343514
1988-09-01,119.5,0.4192878260036004
1988-10-01,119.9,0.33416906619025966
1988-11-01,120.3,0.33305609471652176
1988-12-01,120.7,0.3319505122852284
1989-01-01,121.2,0.4133945531727967
1989-02-01,121.6,0.3294895896853056
1989-03-01,122.2,0.49220772054283657
1989-04-01,123.1,0.7337986452912837
1989-05-01,123.7,0.48622462080345485
1989-06-01,124.1,0.32284128121187194
1989-07-01,124.5,0.3218023694200767
1989-08-01,124.5,0
1989-09-01,124.8,0.2406740030565402
1989-10-01,125.4,0.4796172263493048
1989-11-01,125.9,0.39793128514808984
1989-12-01,126.3,0.31720883061439054
1990-01-01,127.5,0.945633524203604
1990-02-01,128,0.39138993211356166
1990-03-01,128.6,0.4676547883901705
1990-04-01,128.9,0.2330098141623438
1990-05-01,129.1,0.15503879074545424
1990-06-01,129.9,0.61776258239572
1990-07-01,130.5,0.4608303086194532
1990-08-01,131.6,0.8393792128468469
1990-09-01,132.5,0.6815626535059849
1990-10-01,133.4,0.676948805524713
1990-11-01,133.7,0.22463506263736832
1990-12-01,134.2,0.3732740429684078
1991-01-01,134.7,0.371885887873713
1991-02-01,134.8,0.07421150618878158
1991-03-01,134.8,0
1991-04-01,135.1,0.22230464879466894
1991-05-01,135.6,0.36941305401416713
1991-06-01,136,0.2945510229757531
1991-07-01,136.2,0.1469507979359186
1991-08-01,136.6,0.29325534212780724
1991-09-01,137,0.2923978691435458
1991-10-01,137.2,0.14587894636592935
1991-11-01,137.8,0.4363643287773833
1991-12-01,138.2,0.28985527540115186
1992-01-01,138.3,0.0723327337142976
1992-02-01,138.6,0.2166848085090045
1992-03-01,139.1,0.360101217359432
1992-04-01,139.4,0.21543993970265518
1992-05-01,139.7,0.21497679364923528
1992-06-01,140.1,0.2859187080045622
1992-07-01,140.5,0.28510354308393104
1992-08-01,140.8,0.21329549501416523
1992-09-01,141.1,0.21284151348259783
1992-10-01,141.7,0.42432878378662053
1992-11-01,142.1,0.28188884064199726
1992-12-01,142.3,0.14064699927516244
1993-01-01,142.8,0.3507544809678187
1993-02-01,143.1,0.20986366569202275
1993-03-01,143.3,0.1396648271721368
1993-04-01,143.8,0.3483110452820348
1993-05-01,144.2,0.27777795639023495
1993-06-01,144.3,0.06932409289763797
1993-07-01,144.5,0.13850417726617437
1993-08-01,144.8,0.20739723991294312
1993-09-01,145,0.1380262468957838
1993-10-01,145.6,0.4129393342011234
1993-11-01,146,0.2743485945750912
1993-12-01,146.3,0.20526863177421362
1994-01-01,146.3,0
1994-02-01,146.7,0.2730377122857064
1994-03-01,147.1,0.2722942458456501
1994-04-01,147.2,0.06795786873841081
1994-05-01,147.5,0.20359694850986543
1994-06-01,147.9,0.2708193936879155
1994-07-01,148.4,0.33749610165259014
1994-08-01,149,0.4034975212179326
1994-09-01,149.3,0.20113985996852435
1994-10-01,149.4,0.06695681535724418
1994-11-01,149.8,0.2673798384402737
1994-12-01,150.1,0.20006675562962428
1995-01-01,150.5,0.2661345549514138
1995-02-01,150.9,0.26542815848733525
1995-03-01,151.2,0.1986097971629519
1995-04-01,151.8,0.3960401216096976
1995-05-01,152.1,0.19743343037168515
1995-06-01,152.4,0.19704439872993973
1995-07-01,152.6,0.13114755978103076
1995-08-01,152.9,0.19639940846598591
1995-09-01,153.1,0.13071897286218714
1995-10-01,153.5,0.2609264363613306
1995-11-01,153.7,0.13020835172987688
1995-12-01,153.9,0.13003903002832828
1996-01-01,154.7,0.5184716734186523
1996-02-01,155,0.1937359340226763
1996-03-01,155.5,0.32206147000417573
1996-04-01,156.1,0.38510959020978675
1996-05-01,156.4,0.19200005898243333
1996-06-01,156.7,0.19163212507642413
1996-07-01,157,0.1912655986332723
1996-08-01,157.2,0.12730746467983778
1996-09-01,157.7,0.31756139738865485
1996-10-01,158.2,0.31655613645611425
1996-11-01,158.7,0.31555721988096863
